id,org_id,role,name,email,phone,password_hash,photo_url,department,manager,location,is_active,created_at
58b7b329-1dfb-4a02-8a3d-45ce69c6c5ec,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,admin,A. Shah,admin@odoo.com,9876500001,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Administration,,Gandhinagar,t,2026-07-18 12:03:02.232
bf884427-4d9d-4ab3-b853-51a08437d783,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Raj Patel,raj.patel@odoo.com,9876500002,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Engineering,A. Shah,Ahmedabad,t,2026-07-18 12:03:02.236
e530e3cd-048a-4c2f-a675-a52fe9ac128d,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Krishna Singh,krishna.s@odoo.com,9876500003,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Sales,R. Mehta,Ahmedabad,t,2026-07-18 12:03:02.238
2ab409a2-6e3d-49a3-895d-6b2c0bd31604,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Priya Nair,priya.nair@odoo.com,9876500004,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,HR,A. Shah,Gandhinagar,t,2026-07-18 12:03:02.241
2c7128ca-5b47-43d3-abe5-b16cad57f540,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Meera Joshi,meera.joshi@odoo.com,9876500005,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Finance,A. Shah,Ahmedabad,t,2026-07-18 12:03:02.243
27abb20e-40e7-4046-be9c-6b1a5016c020,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Sameer Rana,sameer.rana@odoo.com,9876500006,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Support,R. Mehta,Ahmedabad,f,2026-07-18 12:03:02.246
4c60c4d7-02a1-41e0-9642-24dc4a843d3d,4c520537-bdd2-472f-99c7-f3243f6cf22a,admin,N. Desai,admin@infobridge.demo,9876600001,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,,,Ahmedabad,t,2026-07-18 12:03:02.249
64b2cfc3-04d7-4fbe-9f1f-68b6625a1bf7,4c520537-bdd2-472f-99c7-f3243f6cf22a,employee,Farhan Qureshi,farhan.q@infobridge.demo,9876600002,"$argon2id$v=19$m=65536,t=3,p=4$8mx7r17d8szO/Fvspczfmw$xfF5nBqSg19QSBUvhBNoIkZitmzJCjnuIjXmC/sg2Pg",,Engineering,,Ahmedabad,t,2026-07-18 12:03:02.251
77ff7473-8d8b-4e28-bc04-316094257e05,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Tanvish,raaj.patel@odoo.com,9876500000,"$argon2id$v=19$m=65536,t=3,p=4$HH2gPBbI5osDU9XYdl40YA$FYfc1HxpzTvjMbnXExC0tAhGUXOcCmFXibmP8QqFHPg",,,,,t,2026-07-18 13:00:22.206
5b6c488c-7787-4b65-8059-8578cb52d2be,d49d2654-1fd2-4cfd-881a-42fe43f6f5df,employee,Dhrumi,dhrumi@odoo.com,9836155955,"$argon2id$v=19$m=65536,t=3,p=4$c/3uaV/F/UMPJnCwUuIesg$UjILELqCyo3sOB03x0Wwy8Ntj6ZYnxMcGWQU+vkGbEY",,,,,t,2026-07-18 13:25:37.312
